Latitude,Longitude,Stop Name,Stop Status
40.686355,-73.968901,GREENE AV/VANDERBILT AV,at stop
40.685749,-73.954654,GATES AV/BEDFORD AV,at stop
40.692463,-73.990439,JORALEMON ST/COURT ST,at stop
40.688891,-73.927333,GATES AV/PATCHEN AV,at stop
40.692878,-73.989105,ADAMS ST/BKLYN SUPREME CRT,approaching
40.685556,-73.956558,GATES AV/FRANKLIN AV,approaching
40.699005,-73.911552,PALMETTO ST/WYCKOFF AV,approaching
40.686158,-73.970608,GREENE AV/ADELPHI ST,approaching
40.686614,-73.947142,GATES AV/MARCY AV,approaching
40.698863,-73.911694,PALMETTO ST/WYCKOFF AV,approaching
40.686093,-73.951653,GATES AV/NOSTRAND AV,approaching
40.692361,-73.989759,JORALEMON ST/COURT ST,approaching
40.690285,-73.921284,GATES AV/BUSHWICK AV,approaching
40.696185,-73.990938,Tillary St (not used),approaching
40.691337,-73.987047,FULTON ST/HOYT ST,approaching
40.700825,-73.910305,GATES AV/WYCKOFF AV,< 1 stop away
40.687195,-73.961628,GREENE AV/CLASSON AV,< 1 stop away
40.691739,-73.988052,JORALEMON ST/COURT ST,< 1 stop away
40.687204,-73.941978,GATES AV/TOMPKINS AV,< 1 stop away
40.686126,-73.951363,GATES AV/BEDFORD AV,< 1 stop away
